#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
127,How Deep Is Your Love,"Calvin Harris,Disciples",81,122,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance","Pop, Electronic",How Deep Is Your Love,7/17/2015,3:32,74,87,4,0,34,0,30,-4,B Minor,4,8/14/2023,22mek4IiqubGD9ctzxc69s,Columbia,10A,https://p.scdn.co/mp3-preview/6aa9aca8fda017e572a0065c00a67feb6f044d0c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f4956c3ceefc6fa1cffc6da6
128,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit,Sean Paul,Anne-Marie",76,102,"pop, uk dance, uk funky, dance pop, dancehall, pop rap","Pop, World/Traditional, Hip Hop, Electronic",What Is Love? (Deluxe Edition),11/30/2018,4:11,72,73,38,0,79,0,40,-5,A Minor,4,8/21/2023,2hrUO4drrO63i7FYbCLBl2,Atlantic Records UK,8A,https://p.scdn.co/mp3-preview/dbf4049b4e6c037a9f03f7ce5299e9512d2ae8fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485137fb0680110fbb107740de5d
129,The Nights,Avicii,88,126,"dance pop, edm, pop, pop dance","Pop, Electronic",The Days / Nights,1/1/2014,2:56,53,84,2,0,65,0,20,-5,F#/G♭ Major,4,8/14/2023,0ct6r3EGTcMLPtrXHDvVjc,Universal Music AB,2B,,https://i.scdn.co/image/ab67616d000048510ae4f4d42e4a09f3a29f64ad
130,Wake Me Up,Avicii,2,124,"dance pop, edm, pop, pop dance","Pop, Electronic",TRUE,9/13/2013,4:07,53,78,0,0,64,0,10,-6,D Major,4,8/14/2023,4h8VwCb1MTGoLKueQ1WgbD,Universal Music AB,10B,,https://i.scdn.co/image/ab67616d000048514cfcceb6f9b1aae8752810e7
131,In My Mind,"Dynoro,Gigi D'Agostino",82,126,"edm, eurodance, italo dance","Electronic, Pop",In My Mind,6/8/2018,3:04,69,77,18,0,16,10,10,-5,F#/G♭ Major,4,8/14/2023,0E9ZjEAyAwOXZ7wJC0PD33,Columbia/B1 Recordings,2B,https://p.scdn.co/mp3-preview/4de512355f4b332fcf079a74592025ff168813ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128a8a05c3a7ba952c7615ab9
132,Human,Rag'n'Bone Man,0,75,neo soul,R&B,Human,7/21/2016,3:19,64,70,41,0,56,20,10,-4,B Major,4,8/14/2023,3erAiWBiKsbVG39cqCrsI0,Best Laid Plans/Columbia,1B,,https://i.scdn.co/image/ab67616d000048514bf1bda03a3b0259fa6f771d
133,Centuries,Fall Out Boy,83,176,"emo, modern rock, pop, rock","Rock, Pop",American Beauty/American Psycho,1/20/2015,3:48,39,86,0,0,56,0,10,-3,E Minor,4,8/14/2023,04aAxqtGp5pv12UXAg4pkq,Island Records,9A,,https://i.scdn.co/image/ab67616d000048513cf1c1dbcfa3f1ab7282719b
134,Immortals,Fall Out Boy,77,108,"emo, modern rock, pop, rock","Rock, Pop",American Beauty/American Psycho,1/20/2015,3:09,62,87,0,0,48,0,60,-4,D Major,4,8/14/2023,3Te8uLyit6X3ncNW8Fp3K2,Island Records,10B,,https://i.scdn.co/image/ab67616d000048513cf1c1dbcfa3f1ab7282719b
135,The Phoenix,Fall Out Boy,73,138,"emo, modern rock, pop, rock","Rock, Pop",Save Rock And Roll,4/12/2013,4:04,56,96,0,0,41,0,50,-3,E Minor,4,8/14/2023,7jwDuO7UZvWs77KNj9HbvF,Island Records,9A,,https://i.scdn.co/image/ab67616d00004851483a98632e23f6d2623ab75c
136,Heathens,Twenty One Pilots,84,90,"modern rock, pop, pov: indie, rock","Rock, Pop",Heathens,6/16/2016,3:15,73,40,8,0,55,0,10,-9,E Minor,4,8/14/2023,6i0V12jOa3mr6uu4WYhUBr,Atlantic Records,9A,https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512ca3ba8f334ca5a5f0312efb
137,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",83,146,"pop rap, seattle hip hop, pop dance","Electronic, Hip Hop",The Heist,10/9/2012,4:18,64,92,3,0,85,0,0,-4,D Major,4,8/14/2023,3bidbhpOYeV4knp8AIu8Xn,Macklemore,10B,https://p.scdn.co/mp3-preview/989bcb16f82e4cfcbfebdf8cf0dd91abe86c84d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485198a02fef3a8b1d80a0f164ec
138,Stressed Out,Twenty One Pilots,88,170,"modern rock, pop, pov: indie, rock","Rock, Pop",Blurryface,5/15/2015,3:22,73,64,5,0,65,10,0,-6,E Minor,4,8/14/2023,3CRDbSIZ4r5MsZ0YwxuEkn,Fueled By Ramen,9A,https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de03bfc2991fd5bcfde65ba3
