#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
262,Rüyalarda Buruşmuşum,Adamlar,64,115,turkish rock,Rock,Rüyalarda Buruşmuşuz,10/27/2016,3:31,66,43,37,0,46,0,10,-9,E Major,4,8/22/2023,4cQSOn9oP0MiM7BgiRngFk,People Make Music,12B,https://p.scdn.co/mp3-preview/c17e6adc781e34334f5f6d1727fca177300b937b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ae0f560e2cd8c5d4ffef990
263,Kadın,Adamlar,0,132,turkish rock,Rock,Eski Dostum Tankla Gelmiş,9/8/2014,5:43,64,64,1,1,23,0,0,-7,D Major,4,8/22/2023,1cVT43SIngKnKQnt9W1jKV,FONO MÜZİK ÜRETİM,10B,,https://i.scdn.co/image/ab67616d0000485109ed02602a47809c45bab57a
264,Ah Benim Hayatım,Adamlar,54,133,turkish rock,Rock,Rüyalarda Buruşmuşuz,10/27/2016,3:57,58,66,16,0,37,0,10,-8,D Minor,4,8/22/2023,4yVcisWyCMo4RPLihvBMTF,People Make Music,7A,https://p.scdn.co/mp3-preview/dbd89d222c5408155310f1e529b31db74deb58ac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ae0f560e2cd8c5d4ffef990
265,Hepinize El Salladım,Adamlar,52,100,turkish rock,Rock,Rüyalarda Buruşmuşuz,10/27/2016,3:03,64,64,13,0,55,0,0,-8,A Minor,4,8/22/2023,156JNJrkPptBtP1XUKf0da,People Make Music,8A,https://p.scdn.co/mp3-preview/1589922300a3346a024fe59de16e326e4b496e83?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ae0f560e2cd8c5d4ffef990
266,Utanmazsan Unutmam,Adamlar,0,122,turkish rock,Rock,Eski Dostum Tankla Gelmiş,9/8/2014,4:06,71,56,25,0,26,0,10,-6,C♯/D♭ Minor,4,8/22/2023,2mZIlQojKiKxql5hRvccOP,FONO MÜZİK ÜRETİM,12A,,https://i.scdn.co/image/ab67616d0000485109ed02602a47809c45bab57a
267,Koca Yaşlı Şişko Dünya,Adamlar,63,166,turkish rock,Rock,Eski Dostum Tankla Gelmiş,9/8/2014,3:53,55,80,5,0,61,0,0,-5,E Minor,4,8/22/2023,5eRKvlw6AA3TfOdAmnBsfm,Fono Müzik Üretim,9A,https://p.scdn.co/mp3-preview/dbd5bc635b735a30c9bd0b6ba65ca33ba710a278?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851956b9f22e3d5bb055c905815
268,Yıldızların Altında,Kargo,68,142,turkish rock,Rock,Yıldızların Altında,7/14/2005,2:57,60,85,52,0,76,0,10,-6,G Minor,4,8/22/2023,77pFHFviVrb2iOP2gMFDNf,AVRUPA MÜZİK YAPIM,6A,https://p.scdn.co/mp3-preview/0fcec2f14d0eb05d08e4464d1e96a9011c25cae9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851968cc639e5bd788cdb4723ac
269,Öyle Sarhoş Olsam ki,Kargo,42,120,turkish rock,Rock,Yıldızların Altında,7/14/2005,4:14,68,59,64,0,64,0,10,-7,C Major,4,8/22/2023,27HOXc7zvJCumBlGLs8PhM,AVRUPA MÜZİK YAPIM,8B,https://p.scdn.co/mp3-preview/89d9eece587d6a7743677d1aa15d7ba259507cfd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851968cc639e5bd788cdb4723ac
270,Bana Yalan Söylediler,Kargo,37,140,turkish rock,Rock,Gelecekle Randevum Var,2/28/2013,4:17,49,91,11,0,43,10,0,-5,B Major,4,8/22/2023,0dyBPrNYRrhKyk9Rf05VoC,DOĞAN MÜZİK YAPIM,1B,https://p.scdn.co/mp3-preview/5aff2a10c1b63ae7a324054fd315c8af2df73502?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517ab06a9a673e0cef22c5de3e
271,Dem,Can Bonomo,63,114,"turkish pop, turkish rock","Pop, Rock",Bulunmam Gerek,12/15/2014,3:13,67,90,3,0,83,0,10,-5,B Minor,4,8/22/2023,2aUycmP66tY4wr3zt1sGc0,AVRUPA MÜZİK YAPIM,10A,https://p.scdn.co/mp3-preview/647c80585032e5b3e8f24adf76c6bcd2d6054451?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485180cb1ec0ca1c857dfccecfde
272,Tastamam,Can Bonomo,61,90,"turkish pop, turkish rock","Pop, Rock",Bulunmam Gerek,12/15/2014,3:16,60,80,4,0,52,0,10,-6,F#/G♭ Minor,4,8/22/2023,3L8SvgfqK9Xb26rV4kq5Xt,AVRUPA MÜZİK YAPIM,11A,https://p.scdn.co/mp3-preview/015e31a7f1cbc0fde15dd606c790a841a17bc651?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485180cb1ec0ca1c857dfccecfde
273,Sen Bunları Duyma,Can Bonomo,47,191,"turkish pop, turkish rock","Pop, Rock",Sen Bunları Duyma,3/6/2020,3:10,41,60,30,0,52,30,10,-9,F Minor,4,8/22/2023,68MBJ7wvISIrH6lCe5cLTP,AVRUPA MÜZİK YAPIM,4A,https://p.scdn.co/mp3-preview/f1156a4468d88ed3bc80e3fb0531582a0db24e33?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1b79fef6c626a1c8d6d7107
274,Son Arzum,Skapova,68,91,,,Son Arzum,9/5/2022,3:23,52,56,0,0,24,0,10,-8,B Minor,4,8/22/2023,625VGPqFsGw96PM609TOrs,ETL Records,10A,https://p.scdn.co/mp3-preview/33b8f6cc6fd1edb7bb2f04101060f3fad8fe8ea6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eab3304cd727f9d56957c9d7
275,Derbeder,Gece,40,172,"turkish alternative, turkish alternative rock, turkish pop, turkish rock","Pop, Rock",İyi Niyetli Bir Gün,5/6/2014,4:05,38,81,0,0,43,0,10,-6,A#/B♭ Minor,4,8/22/2023,3lIZy99mnEArB9FWVoxH3C,Epic,3A,https://p.scdn.co/mp3-preview/498767c0960e16ea817feb6f9891708f821d16e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a28c98aca6ca2fc8a05430df
276,Ben Öldüm,Gece,54,96,"turkish alternative, turkish alternative rock, turkish pop, turkish rock","Pop, Rock",Gece,5/12/2011,3:03,63,69,1,0,79,0,10,-5,C♯/D♭ Minor,4,8/22/2023,3de9GVjuFpwVM6uC5YLQS2,Epic,12A,https://p.scdn.co/mp3-preview/3fd76c35dd584858b3506d00b2b6106340411d10?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511951ede45eb432b667d23ce1
277,Kafam Senden Bile Güzel,Kolpa,0,132,"turkish pop, turkish rock","Pop, Rock",Aşk Ve Hayat Hakkında,1/10/2014,3:24,60,66,53,0,67,0,0,-6,G Major,4,8/22/2023,052unQDEfrmO0z2fsDJoVK,PASAJ,9B,,https://i.scdn.co/image/ab67616d000048510a163b95b51964f280d3d00d
278,Beni Aşka İnandır,Kolpa,66,134,"turkish pop, turkish rock","Pop, Rock",Yatağın Soğuk Tarafı,2011-00-00,4:13,59,79,20,0,48,0,10,-6,C♯/D♭ Minor,4,8/22/2023,1IfmI8k7GUykUXnKG6cvPB,PASAJ,12A,https://p.scdn.co/mp3-preview/2aa13d3fa436841591051ff2edc44b607bda515d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fbef8a75691794dd500b4a98
279,Hiç Bitmez Bu Masal,Kolpa,55,156,"turkish pop, turkish rock","Pop, Rock",Yatağın Soğuk Tarafı,2011-00-00,3:44,63,76,24,0,95,0,20,-7,E Major,4,8/22/2023,0domS2VQSnl5XhayXITgbH,PASAJ,12B,https://p.scdn.co/mp3-preview/0d9cca575da15f66af5c3321cb9bbfbace715dd6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fbef8a75691794dd500b4a98
280,Koptu İpim Düşüyorum,İkiye On Kala,56,146,"turkish pop, turkish rock","Pop, Rock",Yaka Faça,11/9/2018,3:42,71,42,35,38,65,0,20,-15,A#/B♭ Minor,4,8/22/2023,2iI0RV3TG7VKUwpOmGWIVs,CES Yapım,3A,https://p.scdn.co/mp3-preview/9af87b2c0caca759437a93c69240da5da7ab2ffb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ac2cb8fb04fca210ba714484
281,Neyim Var Ki (feat. Sagopa K),Ceza,71,90,"azeri rap, turkish hip hop",Hip Hop,Rapstar,7/1/2004,3:26,90,46,14,0,69,30,10,-12,D Major,4,8/22/2023,09XOVDSIbBxBf6Kr1vGnHf,Hammer Müzik,10B,https://p.scdn.co/mp3-preview/d6ce83113f07baf3bded22e72ce99e66302051e3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512a07bf1912730d354453a4ca
282,Gelsin Hayat Bildiği Gibi,"Ceza,Sezen Aksu",67,94,"azeri rap, turkish hip hop, turkish pop","Hip Hop, Pop",Yerli Plaka,2/13/2007,4:55,77,62,4,0,40,10,20,-9,F Major,4,8/22/2023,1xmAW8yK4o2kFIgPT5RCxD,Hammer Müzik,7B,https://p.scdn.co/mp3-preview/3cf8dd7c3e2b85117d18f426b0af553d3d712497?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514a7f13cd6d9d7d1ab9bfda35
283,Yerli Plaka,Ceza,66,96,"azeri rap, turkish hip hop",Hip Hop,Yerli Plaka,2/13/2007,4:34,81,86,15,0,33,20,10,-7,G#/A♭ Major,4,8/22/2023,6qLGmqg7yfTVotHvxVClZ8,Hammer Müzik,4B,https://p.scdn.co/mp3-preview/371838d77687478cb264f1ec6da1e92798d7ef72?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514a7f13cd6d9d7d1ab9bfda35
284,Suspus,Ceza,63,158,"azeri rap, turkish hip hop",Hip Hop,Suspus,5/6/2015,4:08,82,71,1,0,52,20,10,-6,C♯/D♭ Minor,4,8/22/2023,1JvUmKSl9Mg6mQnmbjLYyz,Esen,12A,https://p.scdn.co/mp3-preview/f6df31ff454a7b3883b419eff3c381ae30a373a6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109dd7da0003a4a677e21f2c5
285,Fark Var,Ceza,55,95,"azeri rap, turkish hip hop",Hip Hop,Yerli Plaka,2/13/2007,4:15,88,96,48,0,90,20,0,-6,A#/B♭ Minor,4,8/22/2023,1JbphWawhvVxDwLQEIjsxD,Hammer Müzik,3A,https://p.scdn.co/mp3-preview/efda3698566f07dddfb4d8ee884bd7cd90bf657e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514a7f13cd6d9d7d1ab9bfda35
286,Sözler Şerefsiz Oldu,Norm Ender,66,95,"turkish hip hop, turkish trap",Hip Hop,İçinde Patlar,2010-00-00,3:23,69,67,52,0,45,0,10,-6,A#/B♭ Minor,4,8/22/2023,0DGvKkcBCgd4UxRxKY0SqP,Norm Records,3A,https://p.scdn.co/mp3-preview/849d50c51a0a1df7a36a834ca7148bda5bda7b6c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519a96eafc1b0d25bde38723b6
287,Teslim Tesellüm,Son Feci Bisiklet,49,98,turkish rock,Rock,Teslim Tesellüm,3/24/2017,4:03,33,74,9,24,40,0,0,-9,A#/B♭ Minor,4,8/22/2023,1v8T4Fo93xkvSVFXPvTHJP,İstanbul Blue Night Records,3A,https://p.scdn.co/mp3-preview/47f5bbd75e0ea1270c38ccac70613ae3a7c8a392?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851073b672f2ec8b31d00b8f4e2
288,Bu Kız,Son Feci Bisiklet,0,177,turkish rock,Rock,Vesaire,6/23/2015,2:55,33,78,40,0,79,10,20,-6,E Minor,3,8/22/2023,1wFrBgIshbX5gtY1cD2Hd8,Son Feci Bisiklet,9A,,https://i.scdn.co/image/ab67616d00004851e9c749bd6d58383a6de211e5
289,Gece,Son Feci Bisiklet,0,125,turkish rock,Rock,Vesaire,6/23/2015,3:07,67,74,47,0,55,0,20,-7,E Minor,4,8/22/2023,4tPHifDxjD7CYnO2HmvZ45,Son Feci Bisiklet,9A,,https://i.scdn.co/image/ab67616d00004851e9c749bd6d58383a6de211e5
290,Dünyanın En Güzel Kızı,Mavi Gri,58,160,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En Güzel Kızı,12/17/2021,3:37,52,80,1,0,78,0,20,-8,F#/G♭ Minor,4,8/22/2023,3M3sdBf1qG5WkhNYXIq7sK,Mavi Gri,11A,https://p.scdn.co/mp3-preview/4f82f4c894216bdb3bd3324236869704446a65e9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c85ba2827735fc4ff063760b
291,Ahtapotlar,Zakkum,0,130,"turkish pop, turkish rock","Pop, Rock",Zehr-i Zakkum,1/1/2007,4:02,61,91,2,0,82,0,0,-4,B Major,4,8/22/2023,2Q51LGKSVkaMmICIaA3heV,DOĞAN MÜZİK YAPIM,1B,,https://i.scdn.co/image/ab67616d00004851550371694442fc37719c89eb
292,Istanbul,Pamela,63,130,turkish rock,Rock,Sehir Rehberi,11/23/2004,4:12,80,64,0,0,73,0,10,-7,E Minor,4,8/22/2023,27sRogaIuUA9UteLoPcEDw,Epic,9A,https://p.scdn.co/mp3-preview/e18775716dd340e8aeec73d6fe6ef3b7162db084?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f25d9be000eea220144cb93a
293,Korkarak Yaşıyorsan,Şebnem Ferah,0,150,"turkish pop, turkish rock","Pop, Rock",Perdeler,2001-00-00,3:32,55,58,11,0,56,0,0,-6,A Minor,4,8/22/2023,2v4HTnXeYs7olyiijLuCZq,PASAJ,8A,,https://i.scdn.co/image/ab67616d0000485177e43e439458651855be2803
294,Nefret Söylemi,Yok Öyle Kararlı Şeyler,30,116,"turkish alternative rock, turkish rock",Rock,Yok Öyle Kararlı Şeyler,4/20/2014,4:27,37,82,3,0,61,0,10,-5,E Minor,4,8/22/2023,1EN4PZE6WS6iZqFY5x904J,FUNORG,9A,https://p.scdn.co/mp3-preview/1790f8e0563266c34570df2572fe1ebe0b45309d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485131f75b2fb943a634700065b8
295,Barbar,Kaan Boşnak,65,99,"turkish alt pop, turkish rock","Pop, Rock",Barbar,12/25/2020,3:00,72,57,26,10,80,0,10,-10,C Minor,4,8/22/2023,0UN0qSJUnWWvIOgv3nYY2A,Columbia,5A,https://p.scdn.co/mp3-preview/88b097b094e7fb630c8eccd2548d770138b88c51?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517883bca6a2cd8f681b5d377d
296,Bırakma Kendini,Kaan Boşnak,66,104,"turkish alt pop, turkish rock","Pop, Rock",Bırakma Kendini,4/9/2020,4:00,65,57,41,0,58,0,0,-11,A Minor,4,8/22/2023,087cds8zjbUmokjg2jdMOp,Hayırsız,8A,https://p.scdn.co/mp3-preview/d9602ff2b99c7af52f223c50824620ff60ea2c1f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c052354cf9a245baeacb2da
297,Under Your Scars,Godsmack,57,165,"alternative metal, nu metal, post-grunge, rap metal",Metal,When Legends Rise,4/27/2018,3:51,25,76,6,0,22,0,10,-4,B Minor,4,11/29/2023,3VePARjg5ortw4ZfCKj0m3,Spinefarm,10A,https://p.scdn.co/mp3-preview/9a9dd1820f7dbee98a6957a47177d511114b4eec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851498ce64c059167fbb3c9b07a
